,tree,group
0,"SUM,NEG,VF,NEG,MUL,VF,z,E,MUL,VN,POW,z,14,E,E",7
1,"SUM,NEG,MUL,VN,POW,z,4,E,E",7
2,"SUM,MUL,VF,POW,z,3,E,E",7
3,"SUM,NEG,MUL,VN,POW,z,5,E,NEG,MUL,VC,POW,z,4,E,MUL,VF,POW,z,3,E,NEG,VC,E",7
4,"SUM,NEG,MUL,VF,POW,z,5,E,NEG,MUL,VC,POW,z,9,E,NEG,MUL,VC,POW,z,8,E,NEG,MUL,VN,POW,z,14,E,NEG,MUL,VF,POW,z,2,E,NEG,VN,NEG,MUL,VF,POW,z,11,E,MUL,VF,z,E,NEG,MUL,VN,POW,z,10,E,NEG,MUL,VN,POW,z,7,E,MUL,VN,POW,z,6,E,MUL,VN,POW,z,4,E,NEG,MUL,VN,POW,z,15,E,E",7
5,"SUM,NEG,VF,MUL,VF,POW,z,10,E,NEG,MUL,VF,POW,z,6,E,MUL,VF,POW,z,7,E,MUL,VC,POW,z,8,E,MUL,VN,POW,z,2,E,NEG,MUL,VN,POW,z,3,E,MUL,VN,POW,z,5,E,E",7
6,"SUM,MUL,VF,POW,z,10,E,E",7
7,"SUM,MUL,VN,POW,z,2,E,MUL,VF,POW,z,4,E,E",7
8,"SUM,NEG,VC,MUL,VN,POW,z,4,E,E",7
9,"SUM,NEG,VC,MUL,VN,POW,z,5,E,NEG,MUL,VN,z,E,MUL,VF,POW,z,2,E,E",7
10,"SUM,MUL,VF,POW,z,3,E,MUL,VF,POW,z,7,E,NEG,MUL,VN,POW,z,6,E,MUL,VN,z,E,NEG,MUL,VC,POW,z,14,E,MUL,VF,POW,z,13,E,MUL,VN,POW,z,8,E,E",7
11,"SUM,MUL,VN,z,E,MUL,VN,POW,z,4,E,MUL,VN,POW,z,5,E,NEG,VC,E",7
12,"SUM,NEG,MUL,VN,POW,z,5,E,NEG,VF,NEG,MUL,VF,POW,z,6,E,MUL,VC,POW,z,2,E,NEG,MUL,VC,POW,z,7,E,E",7
13,"SUM,MUL,VN,z,E,E",7
14,"SUM,NEG,MUL,VC,POW,z,6,E,VN,NEG,MUL,VN,POW,z,7,E,E",7
15,"SUM,NEG,MUL,VF,z,E,NEG,MUL,VF,POW,z,7,E,E",7
16,"SUM,NEG,MUL,VC,POW,z,2,E,MUL,VN,z,E,MUL,VN,POW,z,5,E,MUL,VN,POW,z,8,E,VN,NEG,MUL,VF,POW,z,3,E,NEG,MUL,VN,POW,z,7,E,NEG,MUL,VN,POW,z,6,E,E",7
17,"SUM,NEG,MUL,VN,z,E,NEG,MUL,VF,POW,z,3,E,E",7
18,"SUM,NEG,MUL,VC,POW,z,4,E,VN,MUL,VC,POW,z,3,E,NEG,MUL,VF,POW,z,7,E,NEG,MUL,VC,POW,z,10,E,NEG,MUL,VN,POW,z,11,E,NEG,MUL,VN,POW,z,2,E,MUL,VN,POW,z,5,E,E",7
19,"SUM,MUL,VN,POW,z,7,E,MUL,VN,POW,z,9,E,E",7
20,"SUM,MUL,VF,POW,z,5,E,MUL,VN,POW,z,2,E,E",7
21,"SUM,MUL,VN,POW,z,11,E,NEG,MUL,VN,POW,z,4,E,NEG,MUL,VF,POW,z,13,E,MUL,VN,POW,z,14,E,NEG,MUL,VF,POW,z,7,E,NEG,MUL,VC,POW,z,8,E,MUL,VN,POW,z,12,E,MUL,VN,z,E,E",7
22,"SUM,NEG,MUL,VN,z,E,NEG,MUL,VN,POW,z,7,E,E",7
23,"SUM,NEG,VN,NEG,MUL,VC,POW,z,3,E,NEG,MUL,VF,POW,z,5,E,MUL,VC,POW,z,8,E,MUL,VC,POW,z,4,E,MUL,VN,z,E,NEG,MUL,VN,POW,z,6,E,NEG,MUL,VN,POW,z,9,E,NEG,MUL,VN,POW,z,7,E,E",7
24,"SUM,NEG,MUL,VF,z,E,E",7
25,"SUM,MUL,VF,POW,z,11,E,MUL,VC,POW,z,12,E,E",7
26,"SUM,MUL,VF,POW,z,6,E,MUL,VC,POW,z,5,E,MUL,VF,POW,z,3,E,MUL,VF,POW,z,4,E,NEG,MUL,VF,POW,z,7,E,NEG,MUL,VC,POW,z,9,E,VN,E",7
27,"SUM,MUL,VF,POW,z,6,E,MUL,VF,POW,z,7,E,NEG,MUL,VC,POW,z,4,E,E",7
28,"SUM,NEG,MUL,VN,POW,z,2,E,NEG,VF,MUL,VF,POW,z,5,E,NEG,MUL,VC,z,E,E",7
29,"SUM,MUL,VN,POW,z,6,E,NEG,MUL,VN,POW,z,12,E,MUL,VF,POW,z,7,E,NEG,MUL,VN,z,E,NEG,MUL,VN,POW,z,13,E,NEG,MUL,VC,POW,z,11,E,MUL,VF,POW,z,10,E,MUL,VC,POW,z,9,E,MUL,VC,POW,z,2,E,NEG,MUL,VN,POW,z,4,E,E",7
30,"SUM,MUL,VN,POW,z,7,E,VC,NEG,MUL,VF,z,E,NEG,MUL,VC,POW,z,3,E,MUL,VC,POW,z,8,E,MUL,VN,POW,z,5,E,MUL,VN,POW,z,9,E,E",7
31,"SUM,MUL,VN,POW,z,2,E,E",7
32,"SUM,VF,NEG,MUL,VF,POW,z,2,E,E",7
33,"SUM,NEG,MUL,VN,POW,z,2,E,E",7
34,"SUM,MUL,VN,POW,z,6,E,E",7
35,"SUM,NEG,MUL,VF,z,E,NEG,MUL,VN,POW,z,5,E,VF,NEG,MUL,VN,POW,z,6,E,NEG,MUL,VN,POW,z,2,E,MUL,VN,POW,z,7,E,E",7
36,"SUM,MUL,VC,POW,z,9,E,MUL,VC,POW,z,7,E,NEG,MUL,VC,POW,z,8,E,E",7
37,"SUM,NEG,MUL,VF,POW,z,7,E,MUL,VC,POW,z,8,E,NEG,MUL,VF,POW,z,3,E,NEG,MUL,VN,POW,z,5,E,MUL,VC,POW,z,4,E,MUL,VN,z,E,NEG,MUL,VN,POW,z,2,E,MUL,VF,POW,z,10,E,MUL,VN,POW,z,11,E,VC,NEG,MUL,VF,POW,z,15,E,MUL,VC,POW,z,9,E,MUL,VN,POW,z,6,E,NEG,MUL,VN,POW,z,14,E,NEG,MUL,VC,POW,z,12,E,E",7
38,"SUM,NEG,MUL,VN,POW,z,3,E,E",7
39,"SUM,NEG,MUL,VC,POW,z,4,E,NEG,MUL,VN,POW,z,8,E,MUL,VC,POW,z,6,E,NEG,MUL,VN,POW,z,9,E,VN,E",7
0,"SUM,MUL,VC,POW,y,2,E,E",6
1,"SUM,NEG,MUL,VN,POW,y,4,E,NEG,MUL,VN,POW,y,3,E,MUL,VN,POW,y,6,E,MUL,VN,y,E,NEG,MUL,VC,POW,y,5,E,VF,E",6
2,"SUM,NEG,MUL,VC,POW,y,4,E,NEG,MUL,VN,POW,y,3,E,NEG,MUL,VC,y,E,NEG,MUL,VN,POW,y,2,E,E",6
3,"SUM,NEG,MUL,VC,y,E,MUL,VC,POW,y,3,E,NEG,MUL,VC,POW,y,4,E,E",6
4,"SUM,NEG,MUL,VC,POW,y,13,E,E",6
5,"SUM,NEG,MUL,VF,POW,y,2,E,VN,NEG,MUL,VN,POW,y,7,E,NEG,MUL,VN,POW,y,5,E,MUL,VF,POW,y,10,E,MUL,VN,POW,y,8,E,NEG,MUL,VF,y,E,E",6
6,"SUM,NEG,MUL,VN,POW,y,13,E,MUL,VF,POW,y,2,E,MUL,VN,POW,y,6,E,MUL,VC,POW,y,12,E,NEG,MUL,VC,POW,y,9,E,MUL,VN,POW,y,5,E,MUL,VN,y,E,NEG,MUL,VN,POW,y,7,E,VF,NEG,MUL,VN,POW,y,10,E,NEG,MUL,VC,POW,y,4,E,NEG,MUL,VF,POW,y,11,E,MUL,VN,POW,y,8,E,E",6
7,"SUM,MUL,VN,POW,y,6,E,NEG,MUL,VC,POW,y,4,E,NEG,MUL,VF,y,E,NEG,MUL,VC,POW,y,10,E,MUL,VF,POW,y,7,E,NEG,MUL,VN,POW,y,11,E,MUL,VN,POW,y,12,E,MUL,VN,POW,y,13,E,E",6
8,"SUM,NEG,MUL,VC,POW,y,6,E,NEG,VN,MUL,VC,POW,y,5,E,NEG,MUL,VC,POW,y,2,E,MUL,VF,POW,y,9,E,MUL,VF,POW,y,8,E,NEG,MUL,VF,y,E,E",6
9,"SUM,NEG,MUL,VF,POW,y,5,E,NEG,VN,MUL,VF,POW,y,9,E,E",6
10,"SUM,NEG,MUL,VF,POW,y,4,E,MUL,VN,POW,y,2,E,MUL,VC,POW,y,3,E,E",6
11,"SUM,MUL,VN,POW,y,2,E,MUL,VC,POW,y,6,E,MUL,VN,y,E,NEG,MUL,VF,POW,y,3,E,MUL,VN,POW,y,7,E,MUL,VN,POW,y,4,E,MUL,VN,POW,y,5,E,E",6
12,"SUM,MUL,VC,POW,y,7,E,MUL,VC,POW,y,2,E,MUL,VN,POW,y,3,E,NEG,MUL,VN,POW,y,9,E,NEG,MUL,VN,POW,y,11,E,MUL,VF,POW,y,5,E,MUL,VC,POW,y,12,E,NEG,MUL,VN,POW,y,6,E,MUL,VN,POW,y,14,E,NEG,MUL,VF,POW,y,15,E,E",6
13,"SUM,VN,NEG,MUL,VC,POW,y,2,E,NEG,MUL,VN,POW,y,7,E,NEG,MUL,VN,POW,y,15,E,NEG,MUL,VN,POW,y,5,E,MUL,VC,POW,y,6,E,MUL,VN,POW,y,13,E,MUL,VF,POW,y,8,E,NEG,MUL,VC,POW,y,11,E,MUL,VN,POW,y,3,E,E",6
14,"SUM,MUL,VN,POW,y,9,E,MUL,VF,POW,y,10,E,NEG,MUL,VF,POW,y,7,E,E",6
15,"SUM,MUL,VN,y,E,NEG,MUL,VF,POW,y,2,E,E",6
16,"SUM,MUL,VF,POW,y,2,E,E",6
17,"SUM,MUL,VN,POW,y,2,E,MUL,VN,POW,y,3,E,NEG,MUL,VF,y,E,NEG,VF,MUL,VF,POW,y,5,E,E",6
18,"SUM,NEG,MUL,VN,POW,y,9,E,NEG,MUL,VC,POW,y,7,E,NEG,MUL,VN,POW,y,2,E,MUL,VN,POW,y,3,E,NEG,MUL,VN,y,E,E",6
19,"SUM,NEG,MUL,VN,POW,y,5,E,MUL,VN,POW,y,12,E,NEG,MUL,VC,POW,y,9,E,MUL,VC,POW,y,7,E,VN,MUL,VC,POW,y,2,E,E",6
20,"SUM,MUL,VF,POW,y,12,E,MUL,VF,POW,y,4,E,MUL,VF,POW,y,8,E,NEG,VC,NEG,MUL,VF,POW,y,10,E,NEG,MUL,VF,y,E,NEG,MUL,VC,POW,y,13,E,NEG,MUL,VN,POW,y,5,E,NEG,MUL,VN,POW,y,11,E,NEG,MUL,VF,POW,y,6,E,E",6
21,"SUM,NEG,MUL,VN,POW,y,3,E,VC,E",6
22,"SUM,NEG,MUL,VN,POW,y,3,E,MUL,VN,POW,y,4,E,MUL,VC,POW,y,2,E,E",6
23,"SUM,MUL,VN,y,E,NEG,MUL,VN,POW,y,15,E,NEG,MUL,VN,POW,y,3,E,MUL,VN,POW,y,9,E,E",6
24,"SUM,NEG,MUL,VN,POW,y,4,E,E",6
25,"SUM,NEG,MUL,VF,POW,y,2,E,VF,E",6
26,"SUM,NEG,VN,NEG,MUL,VC,POW,y,2,E,E",6
27,"SUM,NEG,MUL,VC,y,E,VN,MUL,VC,POW,y,5,E,E",6
28,"SUM,NEG,MUL,VN,y,E,E",6
29,"SUM,MUL,VN,POW,y,2,E,E",6
30,"SUM,NEG,MUL,VN,POW,y,3,E,NEG,VC,MUL,VC,POW,y,6,E,NEG,MUL,VN,POW,y,10,E,NEG,MUL,VN,POW,y,5,E,NEG,MUL,VN,y,E,E",6
31,"SUM,MUL,VC,POW,y,10,E,NEG,MUL,VN,POW,y,4,E,NEG,VC,NEG,MUL,VF,POW,y,7,E,MUL,VN,y,E,E",6
32,"SUM,MUL,VF,POW,y,14,E,NEG,MUL,VC,POW,y,9,E,NEG,MUL,VN,POW,y,2,E,E",6
33,"SUM,MUL,VN,POW,y,4,E,E",6
34,"SUM,MUL,VN,POW,y,9,E,NEG,MUL,VF,POW,y,6,E,VN,E",6
35,"SUM,MUL,VN,POW,y,6,E,NEG,MUL,VN,POW,y,9,E,E",6
36,"SUM,NEG,MUL,VC,POW,y,4,E,NEG,MUL,VN,POW,y,3,E,E",6
37,"SUM,MUL,VN,y,E,E",6
38,"SUM,MUL,VN,y,E,E",6
39,"SUM,MUL,VN,POW,y,3,E,MUL,VN,y,E,E",6
0,"SUM,NEG,MUL,VF,x,E,NEG,VF,E",3
1,"SUM,NEG,MUL,VF,x,E,NEG,VF,E",3
2,"SUM,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,x,E,NEG,VF,E",3
3,"SUM,NEG,MUL,VF,POW,x,7,E,NEG,MUL,VF,POW,x,6,E,NEG,MUL,VF,POW,x,5,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,x,E,NEG,VF,E",3
4,"SUM,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,x,E,NEG,VF,E",3
5,"SUM,MUL,VF,POW,x,6,E,MUL,VF,POW,x,5,E,MUL,VF,POW,x,4,E,MUL,VF,POW,x,3,E,MUL,VF,POW,x,2,E,MUL,VF,x,E,VF,E",3
6,"SUM,MUL,VF,POW,x,3,E,MUL,VF,POW,x,2,E,MUL,VF,x,E,VF,E",3
7,"SUM,MUL,VF,POW,x,4,E,MUL,VF,POW,x,3,E,MUL,VF,POW,x,2,E,MUL,VF,x,E,VF,E",3
8,"SUM,MUL,VF,POW,x,6,E,MUL,VF,POW,x,5,E,MUL,VF,POW,x,4,E,MUL,VF,POW,x,3,E,MUL,VF,POW,x,2,E,MUL,VF,x,E,VF,E",3
9,"SUM,MUL,VF,POW,x,5,E,MUL,VF,POW,x,4,E,MUL,VF,POW,x,3,E,MUL,VF,POW,x,2,E,MUL,VF,x,E,VF,E",3
10,"SUM,MUL,VF,POW,x,6,E,NEG,MUL,VF,POW,x,5,E,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,3,E,MUL,VF,POW,x,2,E,MUL,VF,x,E,VF,E",3
11,"SUM,NEG,MUL,VF,POW,x,4,E,MUL,VF,POW,x,3,E,NEG,MUL,VF,POW,x,2,E,MUL,VF,x,E,VF,E",3
12,"SUM,NEG,MUL,VF,POW,x,6,E,MUL,VF,POW,x,5,E,NEG,MUL,VF,POW,x,4,E,MUL,VF,POW,x,3,E,MUL,VF,POW,x,2,E,MUL,VF,x,E,VF,E",3
13,"SUM,NEG,MUL,VF,POW,x,5,E,MUL,VF,POW,x,4,E,MUL,VF,POW,x,3,E,MUL,VF,POW,x,2,E,MUL,VF,x,E,NEG,VF,E",3
14,"SUM,MUL,VF,POW,x,8,E,NEG,MUL,VF,POW,x,7,E,NEG,MUL,VF,POW,x,6,E,MUL,VF,POW,x,5,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,3,E,MUL,VF,POW,x,2,E,NEG,MUL,VF,x,E,NEG,VF,E",3
15,"SUM,VF,MUL,VF,x,E,NEG,MUL,VF,POW,x,2,E,MUL,VF,POW,x,3,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,5,E,MUL,VF,POW,x,6,E,NEG,MUL,VF,POW,x,7,E,NEG,MUL,VF,POW,x,8,E,E",3
16,"SUM,VF,NEG,MUL,VF,x,E,MUL,VF,POW,x,2,E,MUL,VF,POW,x,3,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,5,E,E",3
17,"SUM,VF,MUL,VF,x,E,MUL,VF,POW,x,2,E,MUL,VF,POW,x,3,E,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,5,E,MUL,VF,POW,x,6,E,E",3
18,"SUM,VF,MUL,VF,x,E,NEG,MUL,VF,POW,x,2,E,E",3
19,"SUM,NEG,VF,MUL,VF,x,E,E",3
20,"SUM,NEG,VF,NEG,MUL,VF,x,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,5,E,NEG,MUL,VF,POW,x,6,E,NEG,MUL,VF,POW,x,7,E,E",3
21,"SUM,NEG,VF,NEG,MUL,VF,x,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,POW,x,3,E,E",3
22,"SUM,NEG,VF,NEG,MUL,VF,x,E,E",3
23,"SUM,NEG,VF,NEG,MUL,VF,x,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,5,E,NEG,MUL,VF,POW,x,6,E,E",3
24,"SUM,NEG,VF,NEG,MUL,VF,x,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,5,E,NEG,MUL,VF,POW,x,6,E,NEG,MUL,VF,POW,x,7,E,E",3
25,"SUM,VF,MUL,VF,x,E,MUL,VF,POW,x,2,E,MUL,VF,POW,x,3,E,MUL,VF,POW,x,4,E,MUL,VF,POW,x,5,E,MUL,VF,POW,x,6,E,MUL,VF,POW,x,7,E,E",3
26,"SUM,VF,MUL,VF,x,E,MUL,VF,POW,x,2,E,MUL,VF,POW,x,3,E,E",3
27,"SUM,VF,MUL,VF,x,E,MUL,VF,POW,x,2,E,MUL,VF,POW,x,3,E,MUL,VF,POW,x,4,E,MUL,VF,POW,x,5,E,MUL,VF,POW,x,6,E,MUL,VF,POW,x,7,E,MUL,VF,POW,x,8,E,E",3
28,"SUM,VF,MUL,VF,x,E,E",3
29,"SUM,VF,MUL,VF,x,E,MUL,VF,POW,x,2,E,E",3
30,"SUM,MUL,VF,POW,x,4,E,MUL,VF,POW,x,3,E,MUL,VF,POW,x,6,E,NEG,MUL,VF,POW,x,5,E,VF,NEG,MUL,VF,x,E,MUL,VF,POW,x,2,E,E",3
31,"SUM,MUL,VF,POW,x,2,E,NEG,VF,MUL,VF,POW,x,5,E,MUL,VF,POW,x,3,E,MUL,VF,x,E,NEG,MUL,VF,POW,x,4,E,E",3
32,"SUM,MUL,VF,x,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,POW,x,3,E,NEG,VF,E",3
33,"SUM,MUL,VF,POW,x,2,E,NEG,MUL,VF,x,E,VF,E",3
34,"SUM,NEG,VF,MUL,VF,POW,x,2,E,NEG,MUL,VF,x,E,NEG,MUL,VF,POW,x,3,E,E",3
35,"SUM,NEG,MUL,VF,POW,x,8,E,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VF,x,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,POW,x,7,E,NEG,MUL,VF,POW,x,6,E,NEG,MUL,VF,POW,x,5,E,NEG,VF,NEG,MUL,VF,POW,x,4,E,E",3
36,"SUM,NEG,MUL,VF,x,E,NEG,MUL,VF,POW,x,7,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,POW,x,4,E,NEG,VF,NEG,MUL,VF,POW,x,5,E,NEG,MUL,VF,POW,x,6,E,NEG,MUL,VF,POW,x,3,E,E",3
37,"SUM,NEG,MUL,VF,POW,x,5,E,NEG,MUL,VF,x,E,NEG,VF,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VF,POW,x,7,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,POW,x,6,E,E",3
38,"SUM,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,POW,x,4,E,NEG,VF,NEG,MUL,VF,x,E,NEG,MUL,VF,POW,x,3,E,E",3
39,"SUM,NEG,VF,NEG,MUL,VF,x,E,E",3
40,"SUM,MUL,VF,POW,x,2,E,VF,MUL,VF,POW,x,3,E,MUL,VF,x,E,E",3
41,"SUM,MUL,VF,POW,x,3,E,MUL,VF,x,E,MUL,VF,POW,x,4,E,MUL,VF,POW,x,5,E,MUL,VF,POW,x,2,E,VF,MUL,VF,POW,x,6,E,E",3
42,"SUM,VF,MUL,VF,x,E,MUL,VF,POW,x,2,E,MUL,VF,POW,x,4,E,MUL,VF,POW,x,3,E,E",3
43,"SUM,MUL,VF,POW,x,3,E,VF,MUL,VF,POW,x,6,E,MUL,VF,POW,x,5,E,MUL,VF,POW,x,2,E,MUL,VF,x,E,MUL,VF,POW,x,7,E,MUL,VF,POW,x,4,E,E",3
44,"SUM,VF,MUL,VF,x,E,E",3
0,"CASES,EQ,SUM,NEG,MUL,VF,b,E,MUL,VN,c,E,NEG,MUL,VN,a,E,NEG,MUL,VF,d,E,E,VF,EQ,SUM,NEG,MUL,VF,b,E,NEG,MUL,VN,c,E,MUL,VF,a,E,NEG,MUL,VN,d,E,E,VN,E",11
1,"CASES,EQ,SUM,MUL,VF,c,E,MUL,VN,d,E,MUL,VF,a,E,MUL,VN,b,E,E,VN,EQ,SUM,MUL,VF,c,E,MUL,VF,d,E,NEG,MUL,VF,a,E,NEG,MUL,VN,b,E,E,VN,E",11
2,"CASES,EQ,SUM,NEG,MUL,VN,d,E,NEG,MUL,VN,a,E,NEG,MUL,VN,b,E,NEG,MUL,VN,c,E,E,VF,EQ,SUM,NEG,MUL,VN,d,E,NEG,MUL,VN,a,E,MUL,VF,b,E,NEG,MUL,VN,c,E,E,VF,E",11
3,"CASES,EQ,SUM,NEG,MUL,VF,a,E,MUL,VN,b,E,NEG,MUL,VN,c,E,NEG,MUL,VN,d,E,E,VF,EQ,SUM,MUL,VF,a,E,MUL,VF,b,E,NEG,MUL,VF,c,E,NEG,MUL,VF,d,E,E,VF,E",11
4,"CASES,EQ,SUM,NEG,MUL,VF,d,E,MUL,VF,b,E,MUL,VF,a,E,NEG,MUL,VN,c,E,E,VN,EQ,SUM,MUL,VN,d,E,NEG,MUL,VN,b,E,NEG,MUL,VF,a,E,MUL,VN,c,E,E,VN,E",11
5,"CASES,EQ,SUM,NEG,MUL,VF,b,E,NEG,MUL,VF,a,E,NEG,MUL,VN,c,E,NEG,MUL,VN,d,E,E,VN,EQ,SUM,NEG,MUL,VN,b,E,NEG,MUL,VF,a,E,MUL,VN,d,E,NEG,MUL,VN,c,E,E,VF,E",11
